Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0x0ff1c82efc3d67b3d15e41c77b61f5518cbfb913e18adcfd5706d9e05ba03949,Flush Forwarder ...,19377564,3/6/2024 17:16,Bitstamp 1 ,Bitstamp 2 ,0,0.00703138
0xc5cae1cd0527b374b50ee7523711a6a78183e067d7295ac61a623b7227452ac7,Exec Transaction,19377564,3/6/2024 17:16,0x2d7BEda0...7dEA460f2 ,0x455011f2...C70af3454 ,0,0.00912033
0xbf556a9c27ec6d83f93e9050a4aeaad501dc70c813472640c6f86fedb1abe235,Transfer,19377564,3/6/2024 17:16,0x2E909D95...3DA82220C ,0xe5C0D2A7...cC566eE9e ,0.029592111,0.00232782
0x2c19a90b0c6eee3ff884d9ea6391eddafdafe552cd1f752d668408f142af75ab,Receive Message,19377564,3/6/2024 17:16,0x4718964A...61298E6B5 ,0x0a992d19...89a738F81 ,0,0.01768255
0xcebb33177fca460314ff4e40836787095f430147b10d659dc23d6c578683f0a3,Transfer,19377564,3/6/2024 17:16,0x05a3f3B7...61029EaEe ,0x1f4Bbee9...658A1ADfa ,0.013110968,0.00232809
0x18e753b54c8aa9385ddd70aefdb4cf175d3568d83dea1868f5e6a8869846e0f5,Transfer,19377564,3/6/2024 17:16,0x872b6C97...35c2317e7 ,0x21c3759F...5e460542E ,24,0.00232888
0xfcac82f6ca14d1e07c60eb550f675e5b185f4aa4199dbdb616f030a9a723bd99,Transfer,19377564,3/6/2024 17:16,0x412e7947...25302bE16 ,0xd883b671...6E9Dbc051 ,0.044,0.00232888
0x8e15596dd99316770809e9969713305ec1ac553dae6d71c7a4e88e7cf4ea3c64,Transfer,19377564,3/6/2024 17:16,tasoulis.eth ,0x0Ee478b5...388144C1d ,0.4,0.00232898
0xd3fdad81074d39220f1b4e59c4cb3fe83d95a825df843ec6b42a9dc7e2d7f215,Transfer,19377564,3/6/2024 17:16,0xd3e5a958...FE3D6D9F9 ,0xc1de6Bda...DF51Dc950 ,1,0.00232898
0xf63d441b2b64b2cc073c04deffdb1512579cf7ee656458efe4c028f003f6e684,Transfer,19377564,3/6/2024 17:16,0x72A22d43...376d06399 ,0xd56F2D54...e927905C9 ,0.001,0.00232898
0x9468f3b84c11d24c9682f153b350189255ada91def44464a9d351fe4f90e0aa6,Transfer,19377564,3/6/2024 17:16,0x97a628c7...D84A966C3 ,0xbB4089F6...487d83653 ,0.028,0.00232898
0xa027f0ee5ef4955cabc719cefd17a3ae86e849df96d083fab34d0503ce1f7454,Transfer,19377564,3/6/2024 17:16,0xFDbdF2f2...c7c73Abd8 ,0xFc9Af4c5...7eAf4Bcea ,0.105,0.00232898
0xffc50c9a96b7064530452ad64bd180192b48cfc98aaec58c795f62e280a6dae5,Transfer,19377564,3/6/2024 17:16,0xB0159e44...fD079DD26 ,0xA3DA3817...33addd14d ,0.414074549,0.00232898
0x5f46ef368814d3c602793a328f99633f6bc42c5fce82008010db428923819aa1,Transfer,19377564,3/6/2024 17:16,0x5F5854D7...16a11771C ,0x30B40A61...41D46FCAa ,1.159035101,0.00232898
0xb8986edee8ec9465bd75d80c6bc10ac4ffcda5dcbf7e57a72a0e8370cedbda67,Transfer,19377564,3/6/2024 17:16,00218.eth ,metagood.eth ,0.12,0.00232898
0x7b177a03d4fac3e520525e488c6bc97efe55ecd1f0906471b8d874e91e241e04,Transfer,19377564,3/6/2024 17:16,0xC13594F8...9d035a5F9 ,0xB74da5fB...Ca3aF4566 ,0.068797041,0.00232898
0xd49d5ab35a8f83b3758840f61f93197cf84403133233388c1608c07032b48122,Transfer,19377564,3/6/2024 17:16,0xC0a9260c...A88B5C609 ,0xcC104c60...2C85dB661 ,0.079,0.00232909
0x303e00761570242fd3ca6c85ebed6f5ce09839425aac045310cd8bd2fa690783,Transfer,19377564,3/6/2024 17:16,0xD43Ee7E3...AFA2e7Cba ,Coinbase Prime ,31.78767196,0.00232912
0xcc32b0ba7359d7988c3115231bb5d6a1a5650a9479825e718b840bfba893a894,Transfer,19377564,3/6/2024 17:16,0x47824269...7F3d89809 ,Coinbase Prime ,0.064507483,0.00232912
0x5623aa1fa7f63971992dbca217dbc8054b3b44b680106a2d52f651bf21dee1de,Transfer,19377564,3/6/2024 17:16,0xC343d973...5Ca0098C1 ,0x4F01bFd1...c713a4c91 ,2.8,0.00232912
0x253ff6bafb09f8849c9108ba01c9a4de40835b59dda172ede685a9f7b14d0d8a,Transfer,19377565,3/6/2024 17:16,0x30b7D7a6...81AA433FA ,0x077D360f...c9be7C4A4 ,0.04997948,0.002394
0x0bae2737a23ce27d4a747c8451ecfc02a923203110d8d6d66bdf6c1f8257c652,Transfer,19377565,3/6/2024 17:16,FixedFloat ,whateverdev.eth ,0.0251546,0.002394
0x4eae339140e523f95aa724cdaab3a471ca964597330583caa5ca30fe3fcdd456,Transfer,19377565,3/6/2024 17:16,0x3a12eEA6...d642e50A0 ,0x125FE6a1...B2B57cC9f ,0.263192089,0.00240097
0xdc35eb936e968cc7ccc09f4004a01457e548a11622ae9465c3a63622e30e2020,Transfer,19377565,3/6/2024 17:16,0xc7Bb010B...8d2Fe7Bc1 ,0xbd0fCcdC...7C77A5BEC ,0.012160218,0.00240097
0x09bf47534a1878aec2b36027c6f783a4308b1e17a562249fdd659237470e1ad0,Transfer,19377565,3/6/2024 17:16,0x4127D459...9000c9155 ,0xb57D60bB...Da64a6dac ,0.017171,0.00240097
0xb2f4d04d552f9d0cb09d8221769ed5f097a50add725b432aa7d9e92074c75e5b,Transfer,19377565,3/6/2024 17:16,Binance 17 ,0x05E2fcC0...F8E8335Cd ,0.95083245,0.00240097
0x3120b338ce6cf671350b5452df4ecb806cd5f3aea046df26da84349ae286745a,Transfer,19377565,3/6/2024 17:16,Bybit: Hot Wallet ,0xCA983423...F4dC57ce8 ,0.00667548,0.00240097
0x359cbbebb4fef5193fc62e5cfe09ad0ba435f0333958917ad9ff430b571bb1fc,Transfer,19377565,3/6/2024 17:16,0xAa0e9a1E...BEF1883E0 ,0x5F9992eD...f0F3DFCDd ,0.02525388,0.00240097
0xd21096708b93ba322a43461a51644db43f04223b618f11ea9394d14070ebeaca,Transfer,19377565,3/6/2024 17:16,0x68FAd2Ff...93f55FDF9 ,0x3F2c908a...843d52288 ,0.457798535,0.00240097
0xb1340366636b97e129d2d39fdf7a9f319841d501bbfa1bdaa2f5a8d9a161ea6e,Transfer,19377565,3/6/2024 17:16,0x44a7AF26...7488F8451 ,0x5F9992eD...f0F3DFCDd ,0.02524644,0.00240097
0x6de5fe4a50820f2a9fcf4d8a72632c1448064dc991301334ab3031486186b632,Transfer,19377565,3/6/2024 17:16,Binance 14 ,0xC1ee56a2...351b08770 ,0.0982971,0.00240097
0xa151e803cca81651c61cc46b854b5ced8e3b4a7f26f9fadc34e81243addd36b4,Transfer,19377565,3/6/2024 17:16,Binance 20 ,0x0e0AE3F3...0927ED0eB ,0.0665289,0.00240097
0xf94880a8de9395aa1b42ca9cf59afc584b96f465c7ae12f6293810e5b48d6a57,Transfer,19377565,3/6/2024 17:16,Binance 18 ,0xD4a9C9Ff...dDfd5f1bf ,0.52093533,0.00240097
0x4fb077bb650b904f818c20ff340da8f670a1a78ebf457630769144156ae5717a,Transfer,19377565,3/6/2024 17:16,0x55d4F2d5...8eF303187 ,0x3e3802bd...F36D38C49 ,1,0.00240097
0x271b2799f040f1162022db5352476152c6cfe73454af2f6681a032c0c4329604,Transfer,19377565,3/6/2024 17:16,OKX 24 ,0x26DA55eC...cfD811F16 ,0.07590417,0.00242197
0xae383287fc766b8862d442be193b8a2bf672305a4149d5d64b3647e356ccc8da,Transfer,19377565,3/6/2024 17:16,Layerswap 1 ,0x0Adad8CD...fA164Fb1f ,0.002035,0.00242197
0x8161c102754aace0a350eebc2260de52c3b7436696230493eb46e48fd36519c3,Transfer,19377565,3/6/2024 17:16,0x82168748...F04a74FD7 ,0xf64b6Cf3...f6B1ef757 ,0.2493,0.00242873
0xcbda2b6c0c5c3df3f80d19518bba9fd7b82eb8174761754eec6bf141320167ca,Transfer,19377565,3/6/2024 17:16,0x2C023f57...234F07C20 ,0xfa7DDdCf...b188F78cb ,0.09708252,0.00242873
0xa0143c8b2cb5488d303c77573c35cfa8efc696f97b7b7bfafd8498ae96828ec7,Transfer,19377565,3/6/2024 17:16,0xd108FD0E...45D233BA6 ,0xff3AfD25...81aB3a128 ,0.1434,0.00242873
0xabaf273221a25e91f0cf0269487f4e930a9ceea7e3b6d6fd6055f161e17e0469,Transfer,19377565,3/6/2024 17:16,0x845AF1b0...eDd0F492A ,0xEbaBA1D6...66b025d1f ,0.38208252,0.00242873
0x351fe911da5160ef6b691eb75cb62a608b9cdb021189082e7abbc35c81a7a998,Transfer,19377565,3/6/2024 17:16,0x151B3810...26F61e96D ,0x57a0862b...425d3604c ,0.0942,0.00242873
0xaa93be9ee9fa6c47321a8c7d663e973b8f0fe29a89426058e2ce60e66b1aa02b,Transfer,19377565,3/6/2024 17:16,0x99437052...20d8dB99e ,0xfE6d0c6C...428c2DFA8 ,0.060575,0.002478
0x8f2f251f65603ec41cdbb1fac93218d5ab6578299d92506519a34e5e879ca54a,Transfer,19377565,3/6/2024 17:16,0x7e7d2684...63c000049 ,0xC88F7666...34710e7B1 ,0.014581776,0.00261822
0x89680db65a9eaf2e7564f3319c70bccc4b3f84473d430ab507da2ca68defd8b7,Transfer,19377565,3/6/2024 17:16,0x13990eE7...4A7A23C26 ,0x08D76c95...1fCfa8FAd ,0.235,0.00285207
