Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Teen Titans: The Judas Contract,Science Fiction,DC Entertainment,USA,English,2017,"
					
					84 mins",3.15,"24,085 ratings",19 fans,"36,318 members","9,504 lists","6,590 members"
South Park: Post COVID,Comedy,MTV Entertainment Studios,USA,English,2021,"
					
					59 mins",3.57,"24,570 ratings",28 fans,"37,060 members","4,057 lists","9,182 members"
Pokémon 3: The Movie,Animation,Nintendo,Japan,Japanese,2000,"
					
					74 mins",3.19,"27,176 ratings",85 fans,"60,450 members","6,453 lists","8,196 members"
Heaven Can Wait,Comedy,Paramount,USA,English,1978,"
					
					101 mins",3.4,"13,901 ratings",44 fans,"23,827 members","10,104 lists","4,539 members"
Slotherhouse,Horror,Renegade Studios Chicago,USA,English,2023,"
					
					93 mins",2.24,"16,737 ratings",17 fans,"19,709 members","6,826 lists","3,279 members"
"I Love You, Beth Cooper",Romance,Fox Atomic,Canada,English,2009,"
					
					102 mins",2.33,"23,247 ratings",24 fans,"48,826 members","5,476 lists","3,719 members"
Wingwomen,Comedy,Gaumont,France,French,2023,"
					
					114 mins",3.15,"20,066 ratings",75 fans,"24,946 members","4,051 lists","5,466 members"
Step Up Revolution,Music,Summit Entertainment,USA,English,2012,"
					
					99 mins",2.8,"25,623 ratings",111 fans,"60,066 members","5,278 lists","6,271 members"
Lost Illusions,Drama,Curiosa Films,Belgium,French,2021,"
					
					149 mins",3.76,"18,667 ratings",165 fans,"24,013 members","5,624 lists","6,580 members"
The Man Who Knew Infinity,History,Animus Films,UK,English,2015,"
					
					108 mins",3.31,"20,518 ratings",56 fans,"32,159 members","4,074 lists","4,870 members"
Ariel,Comedy,Villealfa Filmproductions,Finland,Finnish,1988,"
					
					73 mins",3.86,"13,304 ratings",98 fans,"19,006 members","9,521 lists","5,447 members"
Around the World in Eighty Days,Fantasy,Michael Todd Company,USA,English,1956,"
					
					182 mins",3.11,"13,208 ratings",8 fans,"25,569 members","15,140 lists","2,501 members"
Bedevilled,Crime,Filma Pictures,South Korea,Korean,2010,"
					
					115 mins",3.64,"13,349 ratings",56 fans,"18,195 members","10,047 lists","4,177 members"
Monsoon Wedding,Romance,IFC Films,France,Hindi,2001,"
					
					114 mins",3.73,"12,075 ratings",177 fans,"20,276 members","12,053 lists","5,185 members"
The Painted Veil,Romance,Yari Film Group,Canada,English,2006,"
					
					125 mins",3.55,"19,333 ratings",158 fans,"31,485 members","5,541 lists","6,028 members"
The Big Wedding,Comedy,Millennium Media,USA,English,2013,"
					
					90 mins",2.44,"21,657 ratings",14 fans,"41,697 members","5,667 lists","3,635 members"
Family Plot,Thriller,Universal Pictures,USA,English,1976,"
					
					120 mins",3.35,"15,301 ratings",14 fans,"23,084 members","13,093 lists","3,967 members"
