Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Barbie,Comedy,LuckyChap Entertainment,UK,English,2023,"
					
					114 mins",3.86,"2,980,018 ratings",26K fans,"3,658,001 members","448,304 lists","1,586,062 members"
Parasite,Comedy,Barunson E&A,South Korea,Korean,2019,"
					
					133 mins",4.56,"2,844,133 ratings",90K fans,"3,801,915 members","521,089 lists","2,176,138 members"
Everything Everywhere All at Once,Science Fiction,IAC Films,USA,English,2022,"
					
					140 mins",4.3,"2,345,715 ratings",130K fans,"2,908,165 members","494,949 lists","1,473,174 members"
Fight Club,Drama,Fox 2000 Pictures,Germany,English,1999,"
					
					139 mins",4.27,"2,568,765 ratings",114K fans,"3,726,744 members","415,981 lists","1,719,180 members"
La La Land,Drama,Summit Entertainment,Hong Kong,English,2016,"
					
					129 mins",4.09,"2,285,536 ratings",204K fans,"3,199,145 members","462,742 lists","1,422,472 members"
Oppenheimer,Drama,Syncopy,UK,English,2023,"
					
					181 mins",4.23,"2,163,845 ratings",31K fans,"2,611,340 members","472,979 lists","1,046,979 members"
Interstellar,Science Fiction,Legendary Pictures,UK,English,2014,"
					
					169 mins",4.35,"2,445,086 ratings",194K fans,"3,493,990 members","445,197 lists","1,621,993 members"
Joker,Crime,Warner Bros. Pictures,Canada,English,2019,"
					
					122 mins",3.84,"2,646,583 ratings",23K fans,"3,802,316 members","290,806 lists","1,552,543 members"
Dune,Science Fiction,Legendary Pictures,USA,English,2021,"
					
					155 mins",3.9,"2,198,100 ratings",22K fans,"2,847,537 members","335,566 lists","1,059,535 members"
Spider-Man: Into the Spider-Verse,Adventure,Columbia Pictures,USA,English,2018,"
					
					117 mins",4.42,"2,445,436 ratings",76K fans,"3,415,337 members","444,758 lists","1,757,390 members"
Pulp Fiction,Crime,Miramax,USA,English,1994,"
					
					154 mins",4.26,"2,195,213 ratings",72K fans,"3,337,922 members","411,328 lists","1,476,451 members"
Whiplash,Drama,Bold Films,USA,English,2014,"
					
					107 mins",4.43,"2,140,912 ratings",110K fans,"2,896,085 members","376,472 lists","1,371,917 members"
The Batman,Crime,6th & Idaho,USA,English,2022,"
					
					177 mins",3.98,"2,214,507 ratings",43K fans,"2,892,463 members","387,674 lists","1,237,940 members"
Knives Out,Mystery,Lionsgate,USA,English,2019,"
					
					131 mins",3.99,"2,326,937 ratings",30K fans,"3,257,110 members","291,457 lists","1,427,083 members"
Get Out,Horror,Monkeypaw Productions,USA,English,2017,"
					
					104 mins",4.16,"2,317,735 ratings",24K fans,"3,305,206 members","361,479 lists","1,461,192 members"
Midsommar,Mystery,B-Reel Films,Sweden,English,2019,"
					
					147 mins",3.78,"2,081,739 ratings",38K fans,"2,843,170 members","377,776 lists","1,117,690 members"
The Dark Knight,Action,DC Comics,UK,English,2008,"
					
					152 mins",4.47,"2,262,631 ratings",82K fans,"3,466,661 members","461,171 lists","1,557,080 members"
Inception,Action,Legendary Pictures,UK,English,2010,"
					
					148 mins",4.19,"2,157,509 ratings",59K fans,"3,380,615 members","378,632 lists","1,374,049 members"
Saltburn,Comedy,LuckyChap Entertainment,UK,English,2023,"
					
					131 mins",3.43,"1,741,700 ratings",12K fans,"2,046,106 members","216,462 lists","597,263 members"
Spider-Man: Across the Spider-Verse,Animation,Columbia Pictures,USA,English,2023,"
					
					140 mins",4.45,"1,803,744 ratings",51K fans,"2,206,103 members","412,592 lists","1,119,266 members"
Poor Things,Romance,Searchlight Pictures,Ireland,English,2023,"
					
					142 mins",4.05,"1,487,801 ratings",23K fans,"1,719,780 members","328,776 lists","678,500 members"
The Truman Show,Comedy,Paramount,USA,English,1998,"
					
					103 mins",4.21,"2,037,257 ratings",49K fans,"3,167,547 members","267,397 lists","1,282,062 members"
Lady Bird,Comedy,IAC Films,USA,English,2017,"
					
					94 mins",3.85,"1,783,944 ratings",58K fans,"2,576,313 members","359,353 lists","1,045,505 members"
The Grand Budapest Hotel,Drama,Fox Searchlight Pictures,Germany,English,2014,"
					
					100 mins",4.24,"1,719,239 ratings",57K fans,"2,528,153 members","360,864 lists","1,103,941 members"
The Wolf of Wall Street,Comedy,Red Granite Pictures,USA,English,2013,"
					
					180 mins",4.0,"2,038,087 ratings",26K fans,"3,170,784 members","279,220 lists","1,119,035 members"
American Psycho,Crime,Lionsgate,Canada,English,2000,"
					
					102 mins",3.86,"1,824,896 ratings",32K fans,"2,688,614 members","275,516 lists","972,177 members"
Spider-Man: No Way Home,Action,Marvel Studios,USA,English,2021,"
					
					148 mins",3.84,"2,014,786 ratings",19K fans,"2,868,728 members","398,736 lists","1,133,346 members"
Eternal Sunshine of the Spotless Mind,Science Fiction,Focus Features,USA,English,2004,"
					
					108 mins",4.25,"1,577,981 ratings",106K fans,"2,343,738 members","356,353 lists","1,013,236 members"
The Menu,Comedy,Hyperobject Industries,USA,English,2022,"
					
					107 mins",3.54,"1,717,805 ratings",4.8K fans,"2,166,021 members","216,529 lists","672,068 members"
Spirited Away,Family,Studio Ghibli,Japan,Japanese,2001,"
					
					125 mins",4.45,"1,808,752 ratings",76K fans,"2,738,830 members","375,921 lists","1,288,809 members"
Dune: Part Two,Adventure,Legendary Pictures,USA,English,2024,"
					
					167 mins",4.47,"1,477,469 ratings",48K fans,"1,682,282 members","272,379 lists","788,411 members"
Gone Girl,Drama,20th Century Fox,USA,English,2014,"
					
					149 mins",4.07,"1,773,028 ratings",37K fans,"2,609,511 members","307,317 lists","980,653 members"
Once Upon a Time… in Hollywood,Drama,Heyday Films,China,English,2019,"
					
					162 mins",3.76,"1,755,764 ratings",20K fans,"2,497,039 members","333,199 lists","870,871 members"
The Shining,Horror,Warner Bros. Pictures,UK,English,1980,"
					
					144 mins",4.24,"1,675,241 ratings",45K fans,"2,594,419 members","422,642 lists","1,034,706 members"
Inglourious Basterds,Drama,The Weinstein Company,France,English,2009,"
					
					153 mins",4.34,"1,778,337 ratings",51K fans,"2,644,452 members","344,642 lists","1,103,578 members"
Black Swan,Drama,Fox Searchlight Pictures,USA,English,2010,"
					
					108 mins",4.15,"1,486,798 ratings",60K fans,"2,281,504 members","314,236 lists","870,817 members"
Little Women,Romance,Columbia Pictures,USA,English,2019,"
					
					135 mins",4.14,"1,445,980 ratings",98K fans,"2,036,087 members","352,741 lists","918,540 members"
Forrest Gump,Drama,Paramount,USA,English,1994,"
					
					142 mins",4.13,"1,825,885 ratings",45K fans,"3,149,054 members","232,549 lists","1,089,478 members"
Avengers: Infinity War,Action,Marvel Studios,USA,English,2018,"
					
					149 mins",3.96,"1,928,740 ratings",17K fans,"3,142,078 members","343,369 lists","1,105,145 members"
Se7en,Crime,New Line Cinema,USA,English,1995,"
					
					127 mins",4.33,"1,602,742 ratings",45K fans,"2,374,422 members","320,716 lists","933,411 members"
Glass Onion,Comedy,T-Street,USA,English,2022,"
					
					140 mins",3.45,"1,630,747 ratings",1.5K fans,"2,160,638 members","187,833 lists","618,810 members"
The Silence of the Lambs,Horror,Orion Pictures,USA,English,1991,"
					
					119 mins",4.33,"1,461,485 ratings",37K fans,"2,303,279 members","325,763 lists","885,291 members"
Avengers: Endgame,Science Fiction,Marvel Studios,USA,English,2019,"
					
					181 mins",3.87,"1,873,177 ratings",19K fans,"3,019,051 members","348,068 lists","1,018,443 members"
Baby Driver,Crime,Big Talk Studios,UK,English,2017,"
					
					113 mins",3.72,"1,697,654 ratings",27K fans,"2,588,867 members","208,416 lists","907,580 members"
Django Unchained,Drama,The Weinstein Company,USA,English,2012,"
					
					165 mins",4.27,"1,687,319 ratings",36K fans,"2,555,151 members","298,866 lists","999,081 members"
The Godfather,Crime,Paramount,USA,English,1972,"
					
					175 mins",4.55,"1,317,613 ratings",62K fans,"2,020,443 members","331,347 lists","806,768 members"
Kill Bill: Vol. 1,Crime,Miramax,USA,English,2003,"
					
					111 mins",4.19,"1,456,117 ratings",41K fans,"2,319,248 members","285,819 lists","884,197 members"
Shutter Island,Mystery,Paramount,USA,English,2010,"
					
					138 mins",4.11,"1,609,130 ratings",34K fans,"2,466,288 members","249,494 lists","862,735 members"
The Social Network,Drama,Columbia Pictures,USA,English,2010,"
					
					121 mins",3.95,"1,552,237 ratings",30K fans,"2,493,625 members","279,553 lists","776,583 members"
Hereditary,Thriller,PalmStar Media,USA,English,2018,"
					
					128 mins",3.97,"1,483,564 ratings",32K fans,"2,053,647 members","332,610 lists","764,366 members"
Call Me by Your Name,Romance,La Cinéfacture,Brazil,English,2017,"
					
					132 mins",3.86,"1,443,884 ratings",64K fans,"2,136,053 members","292,990 lists","800,026 members"
Her,Science Fiction,Annapurna Pictures,USA,English,2013,"
					
					126 mins",4.02,"1,342,444 ratings",33K fans,"1,999,400 members","259,430 lists","739,590 members"
Ratatouille,Animation,Pixar,USA,English,2007,"
					
					111 mins",4.2,"1,734,789 ratings",31K fans,"3,147,765 members","248,768 lists","1,076,228 members"
Nope,Mystery,Monkeypaw Productions,USA,English,2022,"
					
					130 mins",3.72,"1,333,997 ratings",12K fans,"1,683,247 members","279,199 lists","595,277 members"
10 Things I Hate About You,Comedy,Mad Chance,USA,English,1999,"
					
					97 mins",3.99,"1,415,975 ratings",75K fans,"2,212,929 members","288,691 lists","918,830 members"
Scott Pilgrim vs. the World,Comedy,Marc Platt Productions,Japan,English,2010,"
					
					113 mins",3.87,"1,453,262 ratings",56K fans,"2,217,690 members","254,029 lists","888,325 members"
The Matrix,Science Fiction,Village Roadshow Pictures,USA,English,1999,"
					
					136 mins",4.16,"1,501,330 ratings",32K fans,"2,534,234 members","258,491 lists","872,535 members"
Fantastic Mr. Fox,Family,Regency Enterprises,USA,English,2009,"
					
					87 mins",4.27,"1,299,843 ratings",71K fans,"1,911,802 members","328,976 lists","822,834 members"
Taxi Driver,Drama,Italo/Judeo Productions,USA,English,1976,"
					
					114 mins",4.17,"1,245,701 ratings",43K fans,"1,838,547 members","319,125 lists","663,289 members"
Dead Poets Society,Drama,Touchstone Pictures,USA,English,1989,"
					
					128 mins",4.26,"1,165,064 ratings",95K fans,"1,835,170 members","262,277 lists","762,244 members"
Jojo Rabbit,War,Fox Searchlight Pictures,Czechia,English,2019,"
					
					108 mins",4.03,"1,369,997 ratings",20K fans,"1,934,158 members","224,194 lists","775,562 members"
Guardians of the Galaxy,Adventure,Marvel Studios,USA,English,2014,"
					
					121 mins",3.78,"1,696,804 ratings",7.3K fans,"2,946,508 members","292,848 lists","948,576 members"
Black Panther,Adventure,Marvel Studios,USA,English,2018,"
					
					135 mins",3.65,"1,698,259 ratings",4.1K fans,"2,838,118 members","279,558 lists","901,013 members"
Arrival,Science Fiction,FilmNation Entertainment,USA,English,2016,"
					
					116 mins",4.12,"1,410,844 ratings",40K fans,"2,066,669 members","273,695 lists","772,548 members"
Blade Runner 2049,Science Fiction,Alcon Entertainment,Canada,English,2017,"
					
					164 mins",4.12,"1,245,315 ratings",43K fans,"1,769,423 members","291,223 lists","673,539 members"
The Perks of Being a Wallflower,Drama,Mr. Mudd Production,USA,English,2012,"
					
					103 mins",3.92,"1,330,696 ratings",74K fans,"2,132,694 members","236,815 lists","812,005 members"
The Shawshank Redemption,Crime,Castle Rock Entertainment,USA,English,1994,"
					
					142 mins",4.55,"1,329,558 ratings",65K fans,"2,051,940 members","252,557 lists","796,083 members"
The Lord of the Rings: The Fellowship of the Ring,Fantasy,New Line Cinema,New Zealand,English,2001,"
					
					179 mins",4.37,"1,415,258 ratings",43K fans,"2,400,326 members","263,025 lists","853,576 members"
Past Lives,Drama,A24,South Korea,English,2023,"
					
					106 mins",4.18,"917,140 ratings",24K fans,"1,061,499 members","288,205 lists","450,985 members"
Coco,Adventure,Pixar,USA,English,2017,"
					
					105 mins",4.12,"1,491,652 ratings",11K fans,"2,471,567 members","224,863 lists","873,235 members"
Don’t Look Up,Science Fiction,Hyperobject Industries,USA,English,2021,"
					
					138 mins",3.01,"1,484,735 ratings",1.2K fans,"2,115,076 members","134,954 lists","431,052 members"
Good Will Hunting,Drama,Miramax,USA,English,1997,"
					
					127 mins",4.3,"1,207,168 ratings",57K fans,"1,882,903 members","230,400 lists","689,099 members"
Titanic,Drama,Paramount,USA,English,1997,"
					
					194 mins",3.81,"1,461,440 ratings",29K fans,"2,734,839 members","222,916 lists","672,398 members"
Drive,Thriller,FilmDistrict,USA,English,2011,"
					
					100 mins",3.94,"1,144,615 ratings",26K fans,"1,674,151 members","211,305 lists","581,881 members"
Donnie Darko,Fantasy,Flower Films,USA,English,2001,"
					
					114 mins",3.97,"1,104,411 ratings",50K fans,"1,691,134 members","240,219 lists","614,381 members"
Avatar: The Way of Water,Action,20th Century Studios,USA,English,2022,"
					
					192 mins",3.61,"1,258,957 ratings",6.5K fans,"1,670,595 members","194,109 lists","488,607 members"
Up,Animation,Pixar,USA,English,2009,"
					
					96 mins",4.09,"1,528,905 ratings",6.5K fans,"2,949,737 members","204,771 lists","864,417 members"
Star Wars,Adventure,Lucasfilm Ltd.,USA,English,1977,"
					
					121 mins",4.17,"1,374,559 ratings",24K fans,"2,370,577 members","322,855 lists","847,161 members"
Guardians of the Galaxy Vol. 3,Action,Marvel Studios,USA,English,2023,"
					
					150 mins",3.96,"1,176,875 ratings",6.1K fans,"1,508,796 members","299,923 lists","566,749 members"
Anatomy of a Fall,Mystery,Les Films de Pierre,France,French,2023,"
					
					152 mins",4.15,"875,472 ratings",7.8K fans,"1,013,129 members","229,841 lists","373,945 members"
(500) Days of Summer,Romance,Fox Searchlight Pictures,USA,English,2009,"
					
					95 mins",3.66,"1,156,677 ratings",25K fans,"1,814,673 members","181,823 lists","547,751 members"
Inside Out,Comedy,Pixar,USA,English,2015,"
					
					95 mins",3.82,"1,522,211 ratings",7.5K fans,"2,785,002 members","204,711 lists","767,756 members"
Spider-Man: Homecoming,Action,Marvel Studios,USA,English,2017,"
					
					133 mins",3.47,"1,506,517 ratings",2.4K fans,"2,579,973 members","311,601 lists","717,832 members"
Us,Thriller,Monkeypaw Productions,USA,English,2019,"
					
					116 mins",3.65,"1,298,267 ratings",9.5K fans,"1,887,977 members","228,323 lists","606,822 members"
Mad Max: Fury Road,Adventure,Warner Bros. Pictures,Australia,English,2015,"
					
					121 mins",4.17,"1,276,556 ratings",29K fans,"1,940,729 members","259,764 lists","734,320 members"
Top Gun: Maverick,Action,Skydance Media,USA,English,2022,"
					
					131 mins",3.99,"1,202,729 ratings",12K fans,"1,592,205 members","241,166 lists","552,977 members"
Soul,Family,Walt Disney Pictures,USA,English,2020,"
					
					101 mins",3.94,"1,311,633 ratings",7.9K fans,"1,965,821 members","207,210 lists","662,637 members"
Mean Girls,Comedy,Broadway Video,USA,English,2004,"
					
					97 mins",3.83,"1,349,108 ratings",19K fans,"2,388,797 members","193,283 lists","732,581 members"
Back to the Future,Comedy,Universal Pictures,USA,English,1985,"
					
					116 mins",4.2,"1,336,256 ratings",52K fans,"2,403,559 members","241,884 lists","823,342 members"
GoodFellas,Drama,Winkler Films,USA,English,1990,"
					
					145 mins",4.48,"1,081,668 ratings",56K fans,"1,578,892 members","309,853 lists","627,172 members"
The Lighthouse,Horror,RT Features,Brazil,English,2019,"
					
					109 mins",4.04,"941,746 ratings",22K fans,"1,268,537 members","285,904 lists","477,801 members"
Deadpool,Action,20th Century Fox,USA,English,2016,"
					
					108 mins",3.67,"1,481,457 ratings",5.5K fans,"2,564,870 members","153,628 lists","765,886 members"
Howl’s Moving Castle,Fantasy,Studio Ghibli,Japan,Japanese,2004,"
					
					119 mins",4.32,"1,148,541 ratings",72K fans,"1,727,094 members","257,402 lists","766,309 members"
Little Miss Sunshine,Drama,Bona Fide Productions,USA,English,2006,"
					
					102 mins",4.17,"1,030,100 ratings",49K fans,"1,605,234 members","226,744 lists","618,468 members"
The Hunger Games,Fantasy,Lionsgate,USA,English,2012,"
					
					142 mins",3.65,"1,373,930 ratings",12K fans,"2,472,370 members","139,095 lists","614,589 members"
WALL·E,Animation,Pixar,USA,English,2008,"
					
					98 mins",4.19,"1,384,363 ratings",18K fans,"2,616,871 members","231,537 lists","834,019 members"
Harry Potter and the Prisoner of Azkaban,Fantasy,Warner Bros. Pictures,UK,English,2004,"
					
					141 mins",4.09,"1,342,386 ratings",25K fans,"2,583,892 members","215,524 lists","781,587 members"
Aftersun,Drama,PASTEL,UK,English,2022,"
					
					102 mins",4.24,"784,126 ratings",54K fans,"939,281 members","249,637 lists","416,282 members"
Thor: Ragnarok,Adventure,Marvel Studios,USA,English,2017,"
					
					131 mins",3.73,"1,422,069 ratings",6.8K fans,"2,338,777 members","273,856 lists","748,359 members"
1917,History,DreamWorks Pictures,India,English,2019,"
					
					119 mins",4.11,"1,167,809 ratings",12K fans,"1,647,776 members","201,283 lists","585,904 members"
Bottoms,Comedy,Brownstone Productions,USA,English,2023,"
					
					91 mins",3.82,"870,209 ratings",21K fans,"1,014,466 members","193,707 lists","418,383 members"
Avatar,Fantasy,Dune Entertainment,USA,English,2009,"
					
					162 mins",3.58,"1,390,952 ratings",15K fans,"2,515,287 members","152,419 lists","559,799 members"
Harry Potter and the Philosopher’s Stone,Adventure,Warner Bros. Pictures,UK,English,2001,"
					
					152 mins",3.76,"1,317,656 ratings",6.9K fans,"2,596,450 members","201,724 lists","672,209 members"
Doctor Strange in the Multiverse of Madness,Fantasy,Marvel Studios,USA,English,2022,"
					
					126 mins",2.96,"1,268,349 ratings",1.6K fans,"1,777,524 members","253,334 lists","384,891 members"
Moonlight,Drama,A24,USA,English,2016,"
					
					111 mins",4.2,"922,967 ratings",28K fans,"1,354,084 members","267,828 lists","514,717 members"
Bullet Train,Thriller,87North Productions,USA,English,2022,"
					
					126 mins",3.54,"1,110,005 ratings",8.1K fans,"1,419,290 members","156,192 lists","461,995 members"
X,Mystery,A24,USA,English,2022,"
					
					106 mins",3.42,"962,541 ratings",5.5K fans,"1,191,146 members","224,592 lists","358,780 members"
2001: A Space Odyssey,Adventure,Stanley Kubrick Productions,UK,English,1968,"
					
					149 mins",4.3,"837,896 ratings",43K fans,"1,284,653 members","304,235 lists","462,628 members"
Uncut Gems,Thriller,A24,USA,English,2019,"
					
					136 mins",3.95,"1,051,641 ratings",10K fans,"1,449,278 members","212,015 lists","494,948 members"
No Country for Old Men,Crime,Miramax,USA,English,2007,"
					
					122 mins",4.33,"1,081,220 ratings",28K fans,"1,575,409 members","257,040 lists","573,281 members"
Spider-Man: Far from Home,Adventure,Marvel Studios,USA,English,2019,"
					
					129 mins",3.37,"1,351,432 ratings",1.8K fans,"2,246,982 members","308,768 lists","573,307 members"
The Avengers,Science Fiction,Marvel Studios,USA,English,2012,"
					
					143 mins",3.64,"1,379,827 ratings",4.1K fans,"2,570,285 members","259,387 lists","661,059 members"
Prisoners,Thriller,Alcon Entertainment,USA,English,2013,"
					
					153 mins",4.29,"1,083,055 ratings",27K fans,"1,459,370 members","237,272 lists","544,138 members"
Dunkirk,Action,Warner Bros. Pictures,UK,English,2017,"
					
					107 mins",3.77,"1,182,185 ratings",4.2K fans,"1,828,188 members","225,781 lists","516,862 members"
Pearl,Horror,A24,USA,English,2022,"
					
					102 mins",3.75,"842,229 ratings",18K fans,"1,019,712 members","222,809 lists","386,561 members"
Killers of the Flower Moon,History,Apple Studios,USA,English,2023,"
					
					206 mins",4.1,"819,046 ratings",2.2K fans,"969,868 members","274,458 lists","325,588 members"
Memento,Mystery,Summit Entertainment,USA,English,2000,"
					
					113 mins",4.17,"990,618 ratings",19K fans,"1,518,910 members","246,391 lists","500,620 members"
The Breakfast Club,Drama,Universal Pictures,USA,English,1985,"
					
					98 mins",3.76,"1,111,604 ratings",19K fans,"1,956,986 members","183,212 lists","618,072 members"
Challengers,Drama,Pascal Pictures,Italy,English,2024,"
					
					132 mins",4.09,"785,327 ratings",14K fans,"874,728 members","139,457 lists","367,439 members"
Puss in Boots: The Last Wish,Animation,DreamWorks Animation,USA,English,2022,"
					
					103 mins",4.15,"1,007,614 ratings",8.8K fans,"1,274,994 members","177,623 lists","519,491 members"
It,Horror,New Line Cinema,USA,English,2017,"
					
					135 mins",3.43,"1,338,649 ratings",10K fans,"2,234,004 members","177,936 lists","555,943 members"
The Banshees of Inisherin,Comedy,Searchlight Pictures,UK,English,2022,"
					
					114 mins",4.11,"858,263 ratings",12K fans,"1,046,905 members","226,464 lists","382,561 members"
The Empire Strikes Back,Action,Lucasfilm Ltd.,USA,English,1980,"
					
					124 mins",4.41,"1,200,344 ratings",47K fans,"2,068,375 members","315,849 lists","745,962 members"
Scream,Mystery,Dimension Films,USA,English,1996,"
					
					112 mins",4.02,"999,825 ratings",60K fans,"1,521,792 members","330,759 lists","562,858 members"
Catch Me If You Can,Drama,Parkes/MacDonald Productions,USA,English,2002,"
					
					141 mins",4.03,"1,136,517 ratings",12K fans,"1,870,609 members","166,715 lists","561,264 members"
Spider-Man,Science Fiction,Marvel Enterprises,USA,English,2002,"
					
					121 mins",3.78,"1,235,525 ratings",8.2K fans,"2,333,632 members","228,030 lists","603,526 members"
The Devil Wears Prada,Comedy,Fox 2000 Pictures,USA,English,2006,"
					
					109 mins",3.78,"1,076,714 ratings",23K fans,"1,830,071 members","151,274 lists","550,816 members"
Nightcrawler,Drama,Sierra/Affinity,USA,English,2014,"
					
					118 mins",4.04,"1,049,145 ratings",12K fans,"1,508,145 members","178,364 lists","521,210 members"
Coraline,Animation,Laika,USA,English,2009,"
					
					100 mins",4.14,"1,099,112 ratings",64K fans,"1,847,897 members","231,506 lists","692,625 members"
Shrek,Adventure,DreamWorks Pictures,USA,English,2001,"
					
					90 mins",4.07,"1,259,117 ratings",10K fans,"2,491,747 members","158,443 lists","663,966 members"
Tenet,Action,Warner Bros. Pictures,UK,English,2020,"
					
					150 mins",3.4,"1,027,849 ratings",7.1K fans,"1,441,471 members","203,814 lists","364,758 members"
The Holdovers,Comedy,Miramax,USA,English,2023,"
					
					133 mins",4.22,"742,044 ratings",12K fans,"851,983 members","247,310 lists","371,395 members"
My Neighbor Totoro,Fantasy,Studio Ghibli,Japan,Japanese,1988,"
					
					86 mins",4.19,"969,736 ratings",16K fans,"1,566,225 members","226,523 lists","597,524 members"
Toy Story,Comedy,Pixar,USA,English,1995,"
					
					81 mins",4.12,"1,260,248 ratings",7K fans,"2,610,961 members","208,331 lists","665,755 members"
Jurassic Park,Science Fiction,Universal Pictures,USA,English,1993,"
					
					127 mins",4.11,"1,147,032 ratings",36K fans,"2,162,561 members","238,275 lists","639,866 members"
A Quiet Place,Drama,Paramount,USA,English,2018,"
					
					91 mins",3.65,"1,194,331 ratings",2.7K fans,"1,891,416 members","163,083 lists","538,842 members"
Guardians of the Galaxy Vol. 2,Action,Marvel Studios,USA,English,2017,"
					
					137 mins",3.51,"1,248,276 ratings",2.6K fans,"2,186,836 members","251,300 lists","567,970 members"
The Lord of the Rings: The Return of the King,Fantasy,New Line Cinema,New Zealand,English,2003,"
					
					201 mins",4.5,"1,106,102 ratings",51K fans,"1,920,573 members","239,666 lists","661,991 members"
The Incredibles,Animation,Walt Disney Pictures,USA,English,2004,"
					
					115 mins",4.07,"1,238,940 ratings",8K fans,"2,522,994 members","200,336 lists","664,378 members"
Iron Man,Adventure,Marvel Studios,USA,English,2008,"
					
					126 mins",3.69,"1,232,319 ratings",5K fans,"2,348,421 members","244,097 lists","573,699 members"
Zodiac,Drama,Paramount,USA,English,2007,"
					
					163 mins",4.02,"993,803 ratings",11K fans,"1,536,854 members","211,657 lists","466,750 members"
Wonka,Comedy,Warner Bros. Pictures,UK,English,2023,"
					
					117 mins",3.27,"859,739 ratings",1.8K fans,"1,009,324 members","131,825 lists","265,867 members"
Alien,Horror,20th Century Fox,USA,English,1979,"
					
					117 mins",4.27,"935,586 ratings",31K fans,"1,465,479 members","304,059 lists","522,568 members"
The Super Mario Bros. Movie,Fantasy,Universal Pictures,Japan,English,2023,"
					
					93 mins",3.27,"970,742 ratings",1.6K fans,"1,225,550 members","162,583 lists","323,141 members"
Marriage Story,Drama,Heyday Films,UK,English,2019,"
					
					137 mins",4.0,"982,577 ratings",8.7K fans,"1,420,647 members","192,534 lists","470,248 members"
Finding Nemo,Animation,Pixar,USA,English,2003,"
					
					100 mins",4.04,"1,240,996 ratings",5.1K fans,"2,612,031 members","180,614 lists","630,288 members"
Lost in Translation,Drama,American Zoetrope,UK,English,2003,"
					
					102 mins",3.83,"786,484 ratings",27K fans,"1,206,522 members","196,694 lists","376,315 members"
Superbad,Comedy,Columbia Pictures,USA,English,2007,"
					
					113 mins",3.88,"1,078,391 ratings",21K fans,"1,727,870 members","160,532 lists","551,186 members"
A Clockwork Orange,Science Fiction,Warner Bros. Pictures,UK,English,1971,"
					
					137 mins",4.12,"843,934 ratings",29K fans,"1,345,359 members","239,076 lists","442,090 members"
Requiem for a Dream,Drama,Artisan Entertainment,USA,English,2000,"
					
					102 mins",4.1,"783,062 ratings",23K fans,"1,208,634 members","183,461 lists","379,384 members"
Portrait of a Lady on Fire,Drama,Lilies Films,France,French,2019,"
					
					120 mins",4.43,"632,546 ratings",48K fans,"828,877 members","270,567 lists","392,509 members"
Captain America: Civil War,Action,Marvel Studios,USA,English,2016,"
					
					147 mins",3.57,"1,217,491 ratings",3.2K fans,"2,183,290 members","248,741 lists","533,215 members"
"Monsters, Inc.",Comedy,Pixar,USA,English,2001,"
					
					92 mins",4.08,"1,194,883 ratings",6K fans,"2,475,343 members","178,158 lists","633,884 members"
Home Alone,Family,Hughes Entertainment,USA,English,1990,"
					
					103 mins",3.8,"1,144,042 ratings",3.2K fans,"2,316,822 members","149,378 lists","545,604 members"
Blade Runner,Thriller,Shaw Brothers,USA,English,1982,"
					
					118 mins",4.1,"884,126 ratings",40K fans,"1,356,506 members","244,153 lists","472,394 members"
The Lord of the Rings: The Two Towers,Fantasy,New Line Cinema,New Zealand,English,2002,"
					
					179 mins",4.39,"1,074,818 ratings",20K fans,"1,873,626 members","197,011 lists","609,942 members"
Doctor Strange,Action,Marvel Studios,USA,English,2016,"
					
					115 mins",3.44,"1,219,919 ratings",1.9K fans,"2,166,090 members","215,740 lists","514,015 members"
Reservoir Dogs,Crime,Live Entertainment,USA,English,1992,"
					
					99 mins",4.15,"943,310 ratings",14K fans,"1,446,037 members","238,166 lists","494,360 members"
The Dark Knight Rises,Thriller,Syncopy,USA,English,2012,"
					
					165 mins",3.74,"1,148,619 ratings",4.5K fans,"1,934,746 members","233,855 lists","506,254 members"
Asteroid City,Comedy,American Empirical Pictures,USA,English,2023,"
					
					105 mins",3.52,"710,883 ratings",3K fans,"869,953 members","203,348 lists","256,363 members"
Before Sunrise,Romance,Castle Rock Entertainment,Austria,English,1995,"
					
					101 mins",4.33,"697,093 ratings",53K fans,"977,003 members","239,536 lists","420,215 members"
Spider-Man 2,Action,Marvel Enterprises,USA,English,2004,"
					
					127 mins",3.89,"1,113,871 ratings",16K fans,"2,130,765 members","237,239 lists","539,097 members"
The Hunger Games: The Ballad of Songbirds & Snakes,Science Fiction,Lionsgate,USA,English,2023,"
					
					157 mins",3.6,"849,924 ratings",4.7K fans,"1,009,579 members","126,407 lists","329,767 members"
Pride & Prejudice,Drama,Universal Pictures,France,English,2005,"
					
					127 mins",4.1,"819,619 ratings",74K fans,"1,273,486 members","203,035 lists","496,946 members"
John Wick,Action,87Eleven,USA,English,2014,"
					
					101 mins",3.81,"1,049,672 ratings",7.4K fans,"1,627,469 members","138,944 lists","492,144 members"
Oldboy,Thriller,Show East,South Korea,Korean,2003,"
					
					120 mins",4.39,"739,580 ratings",32K fans,"1,029,939 members","218,599 lists","385,370 members"
Anyone But You,Romance,Olive Bridge Entertainment,USA,English,2023,"
					
					104 mins",2.94,"823,677 ratings",2.2K fans,"948,352 members","101,987 lists","240,995 members"
