Movie Name,Genre,Studio,Country,Primary Language,Release Year,Avg Rating,Raters,Fans,Watched,Lists,Likes,Duration (minutes)
Barbie,Comedy,LuckyChap Entertainment,UK,English,2023,3.86,2980018,26000,3658001,448304,1586062,114
Parasite,Comedy,Barunson E&A,South Korea,Korean,2019,4.56,2844133,90000,3801915,521089,2176138,133
Everything Everywhere All at Once,Science Fiction,IAC Films,USA,English,2022,4.3,2345715,130000,2908165,494949,1473174,140
Fight Club,Drama,Fox 2000 Pictures,Germany,English,1999,4.27,2568765,114000,3726744,415981,1719180,139
La La Land,Drama,Summit Entertainment,Hong Kong,English,2016,4.09,2285536,204000,3199145,462742,1422472,129
Oppenheimer,Drama,Syncopy,UK,English,2023,4.23,2163845,31000,2611340,472979,1046979,181
Interstellar,Science Fiction,Legendary Pictures,UK,English,2014,4.35,2445086,194000,3493990,445197,1621993,169
Joker,Crime,Warner Bros. Pictures,Canada,English,2019,3.84,2646583,23000,3802316,290806,1552543,122
Dune,Science Fiction,Legendary Pictures,USA,English,2021,3.9,2198100,22000,2847537,335566,1059535,155
Spider-Man: Into the Spider-Verse,Adventure,Columbia Pictures,USA,English,2018,4.42,2445436,76000,3415337,444758,1757390,117
Pulp Fiction,Crime,Miramax,USA,English,1994,4.26,2195213,72000,3337922,411328,1476451,154
Whiplash,Drama,Bold Films,USA,English,2014,4.43,2140912,110000,2896085,376472,1371917,107
The Batman,Crime,6th & Idaho,USA,English,2022,3.98,2214507,43000,2892463,387674,1237940,177
Knives Out,Mystery,Lionsgate,USA,English,2019,3.99,2326937,30000,3257110,291457,1427083,131
Get Out,Horror,Monkeypaw Productions,USA,English,2017,4.16,2317735,24000,3305206,361479,1461192,104
Midsommar,Mystery,B-Reel Films,Sweden,English,2019,3.78,2081739,38000,2843170,377776,1117690,147
The Dark Knight,Action,DC Comics,UK,English,2008,4.47,2262631,82000,3466661,461171,1557080,152
Inception,Action,Legendary Pictures,UK,English,2010,4.19,2157509,59000,3380615,378632,1374049,148
Saltburn,Comedy,LuckyChap Entertainment,UK,English,2023,3.43,1741700,12000,2046106,216462,597263,131
Spider-Man: Across the Spider-Verse,Animation,Columbia Pictures,USA,English,2023,4.45,1803744,51000,2206103,412592,1119266,140
Poor Things,Romance,Searchlight Pictures,Ireland,English,2023,4.05,1487801,23000,1719780,328776,678500,142
The Truman Show,Comedy,Paramount,USA,English,1998,4.21,2037257,49000,3167547,267397,1282062,103
Lady Bird,Comedy,IAC Films,USA,English,2017,3.85,1783944,58000,2576313,359353,1045505,94
The Grand Budapest Hotel,Drama,Fox Searchlight Pictures,Germany,English,2014,4.24,1719239,57000,2528153,360864,1103941,100
The Wolf of Wall Street,Comedy,Red Granite Pictures,USA,English,2013,4.0,2038087,26000,3170784,279220,1119035,180
American Psycho,Crime,Lionsgate,Canada,English,2000,3.86,1824896,32000,2688614,275516,972177,102
Spider-Man: No Way Home,Action,Marvel Studios,USA,English,2021,3.84,2014786,19000,2868728,398736,1133346,148
Eternal Sunshine of the Spotless Mind,Science Fiction,Focus Features,USA,English,2004,4.25,1577981,106000,2343738,356353,1013236,108
The Menu,Comedy,Hyperobject Industries,USA,English,2022,3.54,1717805,4800,2166021,216529,672068,107
Spirited Away,Family,Studio Ghibli,Japan,Japanese,2001,4.45,1808752,76000,2738830,375921,1288809,125
Dune: Part Two,Adventure,Legendary Pictures,USA,English,2024,4.47,1477469,48000,1682282,272379,788411,167
Gone Girl,Drama,20th Century Fox,USA,English,2014,4.07,1773028,37000,2609511,307317,980653,149
Once Upon a Time… in Hollywood,Drama,Heyday Films,China,English,2019,3.76,1755764,20000,2497039,333199,870871,162
The Shining,Horror,Warner Bros. Pictures,UK,English,1980,4.24,1675241,45000,2594419,422642,1034706,144
Inglourious Basterds,Drama,The Weinstein Company,France,English,2009,4.34,1778337,51000,2644452,344642,1103578,153
Black Swan,Drama,Fox Searchlight Pictures,USA,English,2010,4.15,1486798,60000,2281504,314236,870817,108
Little Women,Romance,Columbia Pictures,USA,English,2019,4.14,1445980,98000,2036087,352741,918540,135
Forrest Gump,Drama,Paramount,USA,English,1994,4.13,1825885,45000,3149054,232549,1089478,142
Avengers: Infinity War,Action,Marvel Studios,USA,English,2018,3.96,1928740,17000,3142078,343369,1105145,149
Se7en,Crime,New Line Cinema,USA,English,1995,4.33,1602742,45000,2374422,320716,933411,127
Glass Onion,Comedy,T-Street,USA,English,2022,3.45,1630747,1500,2160638,187833,618810,140
The Silence of the Lambs,Horror,Orion Pictures,USA,English,1991,4.33,1461485,37000,2303279,325763,885291,119
Avengers: Endgame,Science Fiction,Marvel Studios,USA,English,2019,3.87,1873177,19000,3019051,348068,1018443,181
Baby Driver,Crime,Big Talk Studios,UK,English,2017,3.72,1697654,27000,2588867,208416,907580,113
Django Unchained,Drama,The Weinstein Company,USA,English,2012,4.27,1687319,36000,2555151,298866,999081,165
The Godfather,Crime,Paramount,USA,English,1972,4.55,1317613,62000,2020443,331347,806768,175
Kill Bill: Vol. 1,Crime,Miramax,USA,English,2003,4.19,1456117,41000,2319248,285819,884197,111
Shutter Island,Mystery,Paramount,USA,English,2010,4.11,1609130,34000,2466288,249494,862735,138
The Social Network,Drama,Columbia Pictures,USA,English,2010,3.95,1552237,30000,2493625,279553,776583,121
Hereditary,Thriller,PalmStar Media,USA,English,2018,3.97,1483564,32000,2053647,332610,764366,128
Call Me by Your Name,Romance,La Cinéfacture,Brazil,English,2017,3.86,1443884,64000,2136053,292990,800026,132
Her,Science Fiction,Annapurna Pictures,USA,English,2013,4.02,1342444,33000,1999400,259430,739590,126
Ratatouille,Animation,Pixar,USA,English,2007,4.2,1734789,31000,3147765,248768,1076228,111
Nope,Mystery,Monkeypaw Productions,USA,English,2022,3.72,1333997,12000,1683247,279199,595277,130
10 Things I Hate About You,Comedy,Mad Chance,USA,English,1999,3.99,1415975,75000,2212929,288691,918830,97
Scott Pilgrim vs. the World,Comedy,Marc Platt Productions,Japan,English,2010,3.87,1453262,56000,2217690,254029,888325,113
The Matrix,Science Fiction,Village Roadshow Pictures,USA,English,1999,4.16,1501330,32000,2534234,258491,872535,136
Fantastic Mr. Fox,Family,Regency Enterprises,USA,English,2009,4.27,1299843,71000,1911802,328976,822834,87
Taxi Driver,Drama,Italo/Judeo Productions,USA,English,1976,4.17,1245701,43000,1838547,319125,663289,114
Dead Poets Society,Drama,Touchstone Pictures,USA,English,1989,4.26,1165064,95000,1835170,262277,762244,128
Jojo Rabbit,War,Fox Searchlight Pictures,Czechia,English,2019,4.03,1369997,20000,1934158,224194,775562,108
Guardians of the Galaxy,Adventure,Marvel Studios,USA,English,2014,3.78,1696804,7300,2946508,292848,948576,121
Black Panther,Adventure,Marvel Studios,USA,English,2018,3.65,1698259,4100,2838118,279558,901013,135
Arrival,Science Fiction,FilmNation Entertainment,USA,English,2016,4.12,1410844,40000,2066669,273695,772548,116
Blade Runner 2049,Science Fiction,Alcon Entertainment,Canada,English,2017,4.12,1245315,43000,1769423,291223,673539,164
The Perks of Being a Wallflower,Drama,Mr. Mudd Production,USA,English,2012,3.92,1330696,74000,2132694,236815,812005,103
The Shawshank Redemption,Crime,Castle Rock Entertainment,USA,English,1994,4.55,1329558,65000,2051940,252557,796083,142
The Lord of the Rings: The Fellowship of the Ring,Fantasy,New Line Cinema,New Zealand,English,2001,4.37,1415258,43000,2400326,263025,853576,179
Past Lives,Drama,A24,South Korea,English,2023,4.18,917140,24000,1061499,288205,450985,106
Coco,Adventure,Pixar,USA,English,2017,4.12,1491652,11000,2471567,224863,873235,105
Don’t Look Up,Science Fiction,Hyperobject Industries,USA,English,2021,3.01,1484735,1200,2115076,134954,431052,138
Good Will Hunting,Drama,Miramax,USA,English,1997,4.3,1207168,57000,1882903,230400,689099,127
Titanic,Drama,Paramount,USA,English,1997,3.81,1461440,29000,2734839,222916,672398,194
Drive,Thriller,FilmDistrict,USA,English,2011,3.94,1144615,26000,1674151,211305,581881,100
Donnie Darko,Fantasy,Flower Films,USA,English,2001,3.97,1104411,50000,1691134,240219,614381,114
Avatar: The Way of Water,Action,20th Century Studios,USA,English,2022,3.61,1258957,6500,1670595,194109,488607,192
Up,Animation,Pixar,USA,English,2009,4.09,1528905,6500,2949737,204771,864417,96
Star Wars,Adventure,Lucasfilm Ltd.,USA,English,1977,4.17,1374559,24000,2370577,322855,847161,121
Guardians of the Galaxy Vol. 3,Action,Marvel Studios,USA,English,2023,3.96,1176875,6100,1508796,299923,566749,150
Anatomy of a Fall,Mystery,Les Films de Pierre,France,French,2023,4.15,875472,7800,1013129,229841,373945,152
(500) Days of Summer,Romance,Fox Searchlight Pictures,USA,English,2009,3.66,1156677,25000,1814673,181823,547751,95
Inside Out,Comedy,Pixar,USA,English,2015,3.82,1522211,7500,2785002,204711,767756,95
Spider-Man: Homecoming,Action,Marvel Studios,USA,English,2017,3.47,1506517,2400,2579973,311601,717832,133
Us,Thriller,Monkeypaw Productions,USA,English,2019,3.65,1298267,9500,1887977,228323,606822,116
Mad Max: Fury Road,Adventure,Warner Bros. Pictures,Australia,English,2015,4.17,1276556,29000,1940729,259764,734320,121
Top Gun: Maverick,Action,Skydance Media,USA,English,2022,3.99,1202729,12000,1592205,241166,552977,131
Soul,Family,Walt Disney Pictures,USA,English,2020,3.94,1311633,7900,1965821,207210,662637,101
Mean Girls,Comedy,Broadway Video,USA,English,2004,3.83,1349108,19000,2388797,193283,732581,97
Back to the Future,Comedy,Universal Pictures,USA,English,1985,4.2,1336256,52000,2403559,241884,823342,116
GoodFellas,Drama,Winkler Films,USA,English,1990,4.48,1081668,56000,1578892,309853,627172,145
The Lighthouse,Horror,RT Features,Brazil,English,2019,4.04,941746,22000,1268537,285904,477801,109
Deadpool,Action,20th Century Fox,USA,English,2016,3.67,1481457,5500,2564870,153628,765886,108
Howl’s Moving Castle,Fantasy,Studio Ghibli,Japan,Japanese,2004,4.32,1148541,72000,1727094,257402,766309,119
Little Miss Sunshine,Drama,Bona Fide Productions,USA,English,2006,4.17,1030100,49000,1605234,226744,618468,102
The Hunger Games,Fantasy,Lionsgate,USA,English,2012,3.65,1373930,12000,2472370,139095,614589,142
WALL·E,Animation,Pixar,USA,English,2008,4.19,1384363,18000,2616871,231537,834019,98
Harry Potter and the Prisoner of Azkaban,Fantasy,Warner Bros. Pictures,UK,English,2004,4.09,1342386,25000,2583892,215524,781587,141
Aftersun,Drama,PASTEL,UK,English,2022,4.24,784126,54000,939281,249637,416282,102
Thor: Ragnarok,Adventure,Marvel Studios,USA,English,2017,3.73,1422069,6800,2338777,273856,748359,131
1917,History,DreamWorks Pictures,India,English,2019,4.11,1167809,12000,1647776,201283,585904,119
Bottoms,Comedy,Brownstone Productions,USA,English,2023,3.82,870209,21000,1014466,193707,418383,91
Avatar,Fantasy,Dune Entertainment,USA,English,2009,3.58,1390952,15000,2515287,152419,559799,162
Harry Potter and the Philosopher’s Stone,Adventure,Warner Bros. Pictures,UK,English,2001,3.76,1317656,6900,2596450,201724,672209,152
Doctor Strange in the Multiverse of Madness,Fantasy,Marvel Studios,USA,English,2022,2.96,1268349,1600,1777524,253334,384891,126
Moonlight,Drama,A24,USA,English,2016,4.2,922967,28000,1354084,267828,514717,111
Bullet Train,Thriller,87North Productions,USA,English,2022,3.54,1110005,8100,1419290,156192,461995,126
X,Mystery,A24,USA,English,2022,3.42,962541,5500,1191146,224592,358780,106
2001: A Space Odyssey,Adventure,Stanley Kubrick Productions,UK,English,1968,4.3,837896,43000,1284653,304235,462628,149
Uncut Gems,Thriller,A24,USA,English,2019,3.95,1051641,10000,1449278,212015,494948,136
No Country for Old Men,Crime,Miramax,USA,English,2007,4.33,1081220,28000,1575409,257040,573281,122
Spider-Man: Far from Home,Adventure,Marvel Studios,USA,English,2019,3.37,1351432,1800,2246982,308768,573307,129
The Avengers,Science Fiction,Marvel Studios,USA,English,2012,3.64,1379827,4100,2570285,259387,661059,143
Prisoners,Thriller,Alcon Entertainment,USA,English,2013,4.29,1083055,27000,1459370,237272,544138,153
Dunkirk,Action,Warner Bros. Pictures,UK,English,2017,3.77,1182185,4200,1828188,225781,516862,107
Pearl,Horror,A24,USA,English,2022,3.75,842229,18000,1019712,222809,386561,102
Killers of the Flower Moon,History,Apple Studios,USA,English,2023,4.1,819046,2200,969868,274458,325588,206
Memento,Mystery,Summit Entertainment,USA,English,2000,4.17,990618,19000,1518910,246391,500620,113
The Breakfast Club,Drama,Universal Pictures,USA,English,1985,3.76,1111604,19000,1956986,183212,618072,98
Challengers,Drama,Pascal Pictures,Italy,English,2024,4.09,785327,14000,874728,139457,367439,132
Puss in Boots: The Last Wish,Animation,DreamWorks Animation,USA,English,2022,4.15,1007614,8800,1274994,177623,519491,103
It,Horror,New Line Cinema,USA,English,2017,3.43,1338649,10000,2234004,177936,555943,135
The Banshees of Inisherin,Comedy,Searchlight Pictures,UK,English,2022,4.11,858263,12000,1046905,226464,382561,114
The Empire Strikes Back,Action,Lucasfilm Ltd.,USA,English,1980,4.41,1200344,47000,2068375,315849,745962,124
Scream,Mystery,Dimension Films,USA,English,1996,4.02,999825,60000,1521792,330759,562858,112
Catch Me If You Can,Drama,Parkes/MacDonald Productions,USA,English,2002,4.03,1136517,12000,1870609,166715,561264,141
Spider-Man,Science Fiction,Marvel Enterprises,USA,English,2002,3.78,1235525,8200,2333632,228030,603526,121
The Devil Wears Prada,Comedy,Fox 2000 Pictures,USA,English,2006,3.78,1076714,23000,1830071,151274,550816,109
Nightcrawler,Drama,Sierra/Affinity,USA,English,2014,4.04,1049145,12000,1508145,178364,521210,118
Coraline,Animation,Laika,USA,English,2009,4.14,1099112,64000,1847897,231506,692625,100
Shrek,Adventure,DreamWorks Pictures,USA,English,2001,4.07,1259117,10000,2491747,158443,663966,90
Tenet,Action,Warner Bros. Pictures,UK,English,2020,3.4,1027849,7100,1441471,203814,364758,150
The Holdovers,Comedy,Miramax,USA,English,2023,4.22,742044,12000,851983,247310,371395,133
My Neighbor Totoro,Fantasy,Studio Ghibli,Japan,Japanese,1988,4.19,969736,16000,1566225,226523,597524,86
Toy Story,Comedy,Pixar,USA,English,1995,4.12,1260248,7000,2610961,208331,665755,81
Jurassic Park,Science Fiction,Universal Pictures,USA,English,1993,4.11,1147032,36000,2162561,238275,639866,127
A Quiet Place,Drama,Paramount,USA,English,2018,3.65,1194331,2700,1891416,163083,538842,91
Guardians of the Galaxy Vol. 2,Action,Marvel Studios,USA,English,2017,3.51,1248276,2600,2186836,251300,567970,137
The Lord of the Rings: The Return of the King,Fantasy,New Line Cinema,New Zealand,English,2003,4.5,1106102,51000,1920573,239666,661991,201
The Incredibles,Animation,Walt Disney Pictures,USA,English,2004,4.07,1238940,8000,2522994,200336,664378,115
Iron Man,Adventure,Marvel Studios,USA,English,2008,3.69,1232319,5000,2348421,244097,573699,126
Zodiac,Drama,Paramount,USA,English,2007,4.02,993803,11000,1536854,211657,466750,163
Wonka,Comedy,Warner Bros. Pictures,UK,English,2023,3.27,859739,1800,1009324,131825,265867,117
Alien,Horror,20th Century Fox,USA,English,1979,4.27,935586,31000,1465479,304059,522568,117
The Super Mario Bros. Movie,Fantasy,Universal Pictures,Japan,English,2023,3.27,970742,1600,1225550,162583,323141,93
Marriage Story,Drama,Heyday Films,UK,English,2019,4.0,982577,8700,1420647,192534,470248,137
Finding Nemo,Animation,Pixar,USA,English,2003,4.04,1240996,5100,2612031,180614,630288,100
Lost in Translation,Drama,American Zoetrope,UK,English,2003,3.83,786484,27000,1206522,196694,376315,102
Superbad,Comedy,Columbia Pictures,USA,English,2007,3.88,1078391,21000,1727870,160532,551186,113
A Clockwork Orange,Science Fiction,Warner Bros. Pictures,UK,English,1971,4.12,843934,29000,1345359,239076,442090,137
Requiem for a Dream,Drama,Artisan Entertainment,USA,English,2000,4.1,783062,23000,1208634,183461,379384,102
Portrait of a Lady on Fire,Drama,Lilies Films,France,French,2019,4.43,632546,48000,828877,270567,392509,120
Captain America: Civil War,Action,Marvel Studios,USA,English,2016,3.57,1217491,3200,2183290,248741,533215,147
"Monsters, Inc.",Comedy,Pixar,USA,English,2001,4.08,1194883,6000,2475343,178158,633884,92
Home Alone,Family,Hughes Entertainment,USA,English,1990,3.8,1144042,3200,2316822,149378,545604,103
Blade Runner,Thriller,Shaw Brothers,USA,English,1982,4.1,884126,40000,1356506,244153,472394,118
The Lord of the Rings: The Two Towers,Fantasy,New Line Cinema,New Zealand,English,2002,4.39,1074818,20000,1873626,197011,609942,179
Doctor Strange,Action,Marvel Studios,USA,English,2016,3.44,1219919,1900,2166090,215740,514015,115
Reservoir Dogs,Crime,Live Entertainment,USA,English,1992,4.15,943310,14000,1446037,238166,494360,99
The Dark Knight Rises,Thriller,Syncopy,USA,English,2012,3.74,1148619,4500,1934746,233855,506254,165
Asteroid City,Comedy,American Empirical Pictures,USA,English,2023,3.52,710883,3000,869953,203348,256363,105
Before Sunrise,Romance,Castle Rock Entertainment,Austria,English,1995,4.33,697093,53000,977003,239536,420215,101
Spider-Man 2,Action,Marvel Enterprises,USA,English,2004,3.89,1113871,16000,2130765,237239,539097,127
The Hunger Games: The Ballad of Songbirds & Snakes,Science Fiction,Lionsgate,USA,English,2023,3.6,849924,4700,1009579,126407,329767,157
Pride & Prejudice,Drama,Universal Pictures,France,English,2005,4.1,819619,74000,1273486,203035,496946,127
John Wick,Action,87Eleven,USA,English,2014,3.81,1049672,7400,1627469,138944,492144,101
Oldboy,Thriller,Show East,South Korea,Korean,2003,4.39,739580,32000,1029939,218599,385370,120
Anyone But You,Romance,Olive Bridge Entertainment,USA,English,2023,2.94,823677,2200,948352,101987,240995,104
Batman Begins,Crime,Warner Bros. Pictures,UK,English,2005,3.8,1101743,3000,1866667,234798,484963,140
The Hunger Games: Catching Fire,Science Fiction,Lionsgate,USA,English,2013,3.8,1050102,24000,1921362,129561,476281,146
Harry Potter and the Goblet of Fire,Adventure,Warner Bros. Pictures,UK,English,2005,3.81,1096743,7000,2212737,160392,523982,157
Star Wars: The Force Awakens,Action,Lucasfilm Ltd.,USA,English,2015,3.31,1166893,1600,2052748,207222,465583,136
Harry Potter and the Chamber of Secrets,Fantasy,Warner Bros. Pictures,UK,English,2002,3.58,1100977,2100,2248240,150918,494740,161
The Prestige,Science Fiction,Warner Bros. Pictures,UK,English,2006,4.23,901606,23000,1376997,223023,456534,130
Captain America: The Winter Soldier,Adventure,Marvel Studios,USA,English,2014,3.71,1107837,8700,2039213,254591,516866,136
Psycho,Mystery,Shamley Productions,USA,English,1960,4.32,762079,12000,1227444,282549,418621,109
The Witch,Drama,Very Special Projects,Canada,English,2015,3.84,860904,13000,1212392,247481,403742,92
Bohemian Rhapsody,Drama,20th Century Fox,UK,English,2018,3.42,1093618,5600,1780324,112680,451008,135
The French Dispatch,Drama,Searchlight Pictures,USA,English,2021,3.68,701335,4800,942572,176940,289033,108
The Lion King,Animation,Walt Disney Pictures,USA,English,1994,4.22,1095449,14000,2298992,176571,591487,89
Amélie,Romance,Victoires Productions,France,French,2001,4.16,690247,44000,1170242,189651,422062,122
Babylon,Comedy,Paramount,USA,English,2022,3.82,610234,17000,740019,185389,264704,189
Schindler’s List,History,Amblin Entertainment,USA,English,1993,4.52,725175,15000,1226162,211669,378889,195
Barbarian,Mystery,BoulderLight Pictures,USA,English,2022,3.5,797537,2200,975646,173934,286340,103
The Whale,Drama,A24,USA,English,2022,3.65,670854,2700,822961,143750,228098,117
The Lobster,Drama,Scarlet Films,France,English,2015,3.78,723205,9900,1044308,168204,305713,119
Harry Potter and the Deathly Hallows: Part 2,Fantasy,Warner Bros. Pictures,UK,English,2011,3.96,1036871,4400,2117830,162300,493073,130
Priscilla,Romance,American Zoetrope,Italy,English,2023,3.57,617467,8300,720070,145656,235133,110
Princess Mononoke,Adventure,Studio Ghibli,Japan,Japanese,1997,4.37,785444,37000,1206093,217646,485612,134
Star Wars: Episode III – Revenge of the Sith,Science Fiction,Lucasfilm Ltd.,USA,English,2005,3.81,995962,42000,1731843,230663,481508,140
Ex Machina,Science Fiction,DNA Films,UK,English,2015,3.98,874525,7000,1332956,178807,422809,108
The Boy and the Heron,Animation,Studio Ghibli,Japan,Japanese,2023,3.96,590577,3200,705674,169706,270033,124
Return of the Jedi,Action,Lucasfilm Ltd.,USA,English,1983,4.04,995822,10000,1789593,232571,527462,132
There Will Be Blood,Drama,Paramount Vantage,USA,English,2007,4.45,697359,29000,981582,230621,369706,158
Don’t Worry Darling,Thriller,Vertigo Entertainment,USA,English,2022,2.96,800612,2400,1034877,116296,203044,123
Talk to Me,Horror,Causeway Films,Australia,English,2022,3.56,752580,2200,878336,166022,262805,95
Thor: Love and Thunder,Action,Marvel Studios,USA,English,2022,2.48,943796,205,1298397,214037,194144,119
Tangled,Family,Walt Disney Animation Studios,USA,English,2010,3.93,1003092,27000,1942446,165853,531848,100
Avengers: Age of Ultron,Action,Marvel Studios,USA,English,2015,3.09,1085580,1400,2016527,216076,371107,141
The Departed,Crime,Warner Bros. Pictures,Hong Kong,English,2006,4.31,844049,17000,1262893,225773,421934,151
Jaws,Adventure,Zanuck/Brown Productions,USA,English,1975,3.96,852510,17000,1535524,246064,394378,124
Birdman or (The Unexpected Virtue of Ignorance),Drama,TSG Entertainment,USA,English,2014,3.99,806801,11000,1253607,167329,376407,120
The Nightmare Before Christmas,Family,Touchstone Pictures,USA,English,1993,3.95,890211,15000,1683948,194453,506860,76
Fargo,Crime,PolyGram Filmed Entertainment,UK,English,1996,4.21,742043,12000,1120302,198796,382363,98
Split,Thriller,Universal Pictures,USA,English,2016,3.46,992885,2900,1618515,116766,371219,117
The Suicide Squad,Action,DC Films,USA,English,2021,3.51,914857,3100,1341017,182252,368386,132
Harry Potter and the Order of the Phoenix,Adventure,Warner Bros. Pictures,UK,English,2007,3.64,997684,3000,2070220,142532,436126,138
The Martian,Drama,Scott Free Productions,UK,English,2015,3.75,993019,5700,1708094,120723,443144,141
Perfect Blue,Thriller,Madhouse,Japan,Japanese,1997,4.4,556200,31000,745396,192567,342202,82
Clueless,Drama,Paramount,USA,English,1995,3.72,851845,17000,1543705,189041,468472,97
Star Wars: The Last Jedi,Adventure,Lucasfilm Ltd.,USA,English,2017,2.97,1025113,2700,1735189,205809,326278,152
Mamma Mia!,Comedy,Littlestar,Germany,English,2008,3.76,823812,45000,1440557,180223,439832,108
Shrek 2,Family,DreamWorks Animation,USA,English,2004,4.04,951455,21000,1945745,140183,478676,93
Encanto,Animation,Walt Disney Animation Studios,USA,English,2021,3.53,901665,2600,1371319,127838,345842,102
Bodies Bodies Bodies,Mystery,A24,USA,English,2022,3.33,674791,2900,810501,164451,231331,94
The Zone of Interest,Drama,A24,Poland,German,2023,3.88,561774,1900,674866,180993,168578,105
Black Widow,Science Fiction,Marvel Studios,USA,English,2021,2.93,935498,2700,1411079,214364,278486,134
Society of the Snow,History,El Arriero Films,Spain,Spanish,2023,4.13,703333,6500,801046,109780,300596,144
Juno,Romance,Mandate Pictures,USA,English,2007,3.73,792009,20000,1418367,151800,393593,96
Twilight,Romance,Summit Entertainment,USA,English,2008,2.91,876090,22000,1671181,145762,324878,122
Last Night in Soho,Thriller,Film4 Productions,UK,English,2021,3.41,662897,6000,834295,159725,237514,116
Brokeback Mountain,Romance,Focus Features,Canada,English,2005,4.1,635586,19000,997238,173305,329698,134
No Hard Feelings,Comedy,Excellent Cadaver,USA,English,2023,3.06,768514,627,946583,115465,208663,104
Star Wars: Episode I – The Phantom Menace,Action,Lucasfilm Ltd.,USA,English,1999,2.9,954464,1500,1692692,189592,309864,136
The Big Lebowski,Crime,PolyGram Filmed Entertainment,UK,English,1998,4.13,770744,27000,1217770,191275,414372,117
Mulholland Drive,Mystery,Asymmetrical Productions,France,English,2001,4.24,552966,33000,826634,247005,296937,147
Léon: The Professional,Crime,Gaumont,USA,English,1994,4.03,793370,19000,1266356,135826,413659,111
Scarface,Drama,Universal Pictures,USA,English,1983,4.11,731316,22000,1137491,157851,362339,169
Shang-Chi and the Legend of the Ten Rings,Adventure,Marvel Studios,USA,English,2021,3.45,903602,1200,1322269,213875,333280,132
"I, Tonya",Drama,LuckyChap Entertainment,USA,English,2017,3.85,741742,6000,1128726,124759,343997,120
The Godfather: Part II,Crime,Paramount,USA,English,1974,4.59,703609,25000,1097384,218087,397401,202
Harry Potter and the Half-Blood Prince,Adventure,Warner Bros. Pictures,UK,English,2009,3.66,952510,4100,1980986,141686,414176,153
Captain Marvel,Science Fiction,Marvel Studios,USA,English,2019,2.7,1013916,697,1698799,223849,265247,124
Moonrise Kingdom,Romance,Indian Paintbrush,USA,English,2012,4.02,697435,16000,1101316,201840,389267,94
Harry Potter and the Deathly Hallows: Part 1,Fantasy,Warner Bros. Pictures,UK,English,2010,3.69,954675,1300,1986315,140959,412487,146
Rogue One: A Star Wars Story,Adventure,Lucasfilm Ltd.,USA,English,2016,3.72,954088,5900,1564946,191300,438590,133
Ferris Bueller’s Day Off,Comedy,Paramount,USA,English,1986,3.93,818121,24000,1449445,170025,463228,103
12 Angry Men,Drama,United Artists,USA,English,1957,4.62,634397,32000,929120,197288,365956,97
The Thing,Mystery,Universal Pictures,USA,English,1982,4.35,646799,37000,912691,279629,371301,109
The Nice Guys,Action,Silver Pictures,USA,English,2016,3.83,752494,10000,1061241,139274,347759,116
Ant-Man,Adventure,Marvel Studios,USA,English,2015,3.23,987320,519,1827899,201765,355410,117
Logan,Drama,Hutch Parker Entertainment,USA,English,2017,4.1,884427,7400,1409627,185038,463284,137
Edward Scissorhands,Drama,20th Century Fox,USA,English,1990,3.86,792740,13000,1517972,162027,435508,105
Kill Bill: Vol. 2,Thriller,Super Cool ManChu,USA,English,2004,4.06,813342,5300,1342214,169454,410937,136
Pirates of the Caribbean: The Curse of the Black Pearl,Fantasy,Walt Disney Pictures,USA,English,2003,3.92,901299,8100,1839577,132981,441375,143
The Amazing Spider-Man,Science Fiction,Marvel Entertainment,USA,English,2012,3.3,934191,6700,1726118,170177,356963,136
The Notebook,Romance,New Line Cinema,USA,English,2004,3.69,767830,25000,1326826,136740,348139,123
Elvis,History,Warner Bros. Pictures,Australia,English,2022,3.34,740337,4000,966493,151391,228338,159
Saving Private Ryan,History,DreamWorks Pictures,USA,English,1998,4.23,780102,9300,1320408,180676,368619,169
BlacKkKlansman,Drama,Focus Features,USA,English,2018,3.94,768879,2700,1124697,129876,357819,136
Trainspotting,Drama,Figment Films,UK,English,1996,4.2,660490,32000,1043090,156179,360197,94
The Revenant,Western,Monarchy Enterprises S.a.r.l.,Canada,English,2015,3.87,842950,4400,1353147,128400,343671,157
Captain America: The First Avenger,Science Fiction,Marvel Studios,USA,English,2011,3.26,963164,1200,1830847,208620,347934,124
Black Panther: Wakanda Forever,Adventure,Marvel Studios,USA,English,2022,3.36,782219,5500,1062728,199899,266955,162
American Beauty,Drama,DreamWorks Pictures,USA,English,1999,3.96,723350,12000,1228504,158578,336044,122
The Iron Claw,History,A24,UK,English,2023,4.11,527156,6600,591985,141687,237811,132
The Shape of Water,Fantasy,Double Dare You Productions,USA,English,2017,3.67,730853,5900,1140094,151154,309960,123
The Favourite,Thriller,Waypoint Entertainment,Ireland,English,2018,4.03,643383,6900,898096,174683,290882,120
Bones and All,Horror,Frenesy Film,Italy,English,2022,3.65,536157,15000,648521,150646,214730,131
The Great Gatsby,Romance,Warner Bros. Pictures,USA,English,2013,3.38,802758,7900,1451490,95508,302942,143
Your Name.,Romance,CoMix Wave Films,Japan,Japanese,2016,4.21,747602,26000,1086497,157140,413824,106
Eyes Wide Shut,Thriller,Warner Bros. Pictures,UK,English,1999,4.0,565522,14000,852089,182648,255652,159
Luca,Adventure,Pixar,USA,English,2021,3.74,786865,4400,1192833,156954,351892,95
