Movie Name,Genre,Studio,Country,Primary Language,Release Year,Avg Rating,Raters,Fans,Watched,Lists,Likes,Duration (minutes)
Aristotle and Dante Discover the Secrets of the Universe,Romance,3Pas Studios,USA,English,2022,3.29,15970,182,18205,5516,6196,97
Influencer,Horror,Octane Entertainment,Thailand,English,2022,3.01,23255,4,27696,6718,5172,92
The Postman Always Rings Twice,Drama,Metro-Goldwyn-Mayer,USA,English,1946,3.61,15685,21,25225,14255,4885,113
Dark Skies,Thriller,Cinema Vehicle Services,USA,English,2013,2.76,29006,34,45505,8338,5568,97
Maudie,Romance,Landscape Entertainment,Ireland,English,2016,3.68,20065,123,28117,6649,7389,115
A Very Harold & Kumar Christmas,Comedy,New Line Cinema,USA,English,2011,2.78,29467,15,48447,8247,6668,89
I Am the Pretty Thing That Lives in the House,Horror,Eggplant Pictures,Canada,English,2016,2.51,24067,33,35990,8050,4169,89
Dante’s Inferno,Fantasy,Milano Films,Italy,No spoken language,1911,3.7,8763,35,13418,10686,3857,72
La Belle Époque,Drama,Les Films du Kiosque,France,French,2019,3.79,23467,258,31970,5518,8401,115
La Bamba,Music,New Visions Pictures,USA,English,1987,3.51,24703,241,44427,8735,9850,108
October (Ten Days that Shook the World),Drama,Sovkino,USSR,Russian,1927,3.82,10286,73,18318,14125,3760,115
Fremont,Comedy,Butimar Productions,USA,English,2023,3.62,13160,58,16825,6528,5618,92
Snack Shack,Comedy,T-Street,USA,English,2024,3.62,13603,120,15543,6209,5675,112
A Mighty Wind,Music,Castle Rock Entertainment,USA,English,2003,3.66,22219,83,38183,8677,8874,91
Girl Picture,Drama,Citizen Jane Productions,Finland,Finnish,2022,3.65,11041,68,14378,7484,4227,102
Through My Window: Across the Sea,Drama,Nostromo Pictures,Spain,Spanish,2023,1.66,30211,13,39829,3851,2789,110
The Good Girl,Comedy,Hungry Eye Lowland Pictures B.V.,Netherlands,English,2002,3.07,18575,55,36529,5716,4124,93
Firestarter,Science Fiction,Dino De Laurentiis Company,USA,English,1984,2.93,20830,15,38231,12031,5328,115
Memories of Underdevelopment,Drama,ICAIC,Cuba,Spanish,1968,3.87,10503,164,16199,15620,4691,99
The Last Five Years,Comedy,RADiUS-TWC,USA,English,2014,3.12,20784,225,35657,7701,6684,94
Reality,Comedy,Orange Sky,Belgium,French,2014,3.67,17097,169,23351,6232,5990,87
Awake,Science Fiction,Entertainment One,Canada,English,2021,2.11,30226,10,40298,4667,2788,96
The Party,Comedy,The Mirisch Company,USA,English,1968,3.59,21674,200,35047,9168,7872,99
The Nun,Drama,SNC,France,French,1966,3.95,8865,93,12976,8784,4126,140
This Is Me…Now,Music,Nuyorican Productions,USA,English,2024,1.93,19177,15,24929,4284,2692,66
DragonHeart,Drama,Universal Pictures,Slovakia,English,1996,3.03,30467,143,66784,7675,7885,103
Jeremiah Johnson,Adventure,Sanford Productions (III),USA,English,1972,3.8,17314,216,26142,10396,6557,108
The Collection,Horror,Fortress Features,USA,English,2012,2.82,26952,48,42302,8770,6499,82
Good Luck Chuck,Romance,Milestone Entertainment,Canada,English,2007,2.09,31485,7,64540,5659,3641,101
The Third Part of the Night,Drama,"Zespół Filmowy ""Wektor""",Poland,Polish,1971,3.84,6932,61,10060,9079,2994,102
"Yours, Mine & Ours",Family,Paramount,USA,English,2005,2.77,29282,72,76415,7049,7131,90
Othello,Romance,Les Films Marceau,France,English,1951,3.81,12177,22,19223,13856,4435,93
Rings,Horror,Paramount,USA,English,2017,1.72,29836,6,45462,9525,2167,102
Friday Night Lights,Drama,Imagine Entertainment,USA,English,2004,3.54,25617,210,40815,9249,7143,118
The American,Thriller,Twins Financing,UK,English,2010,3.17,27772,32,48100,6628,5643,104
Clown,Horror,PS 260,Canada,English,2014,2.62,28791,14,42500,7959,5369,99
Post Tenebras Lux,Drama,No Dream Cinema,France,Spanish,2012,3.64,10496,153,16155,8610,4245,115
An Officer and a Gentleman,Drama,Paramount,USA,English,1982,3.39,21976,115,37922,10169,6036,124
Bananas,Comedy,Jack Rollins & Charles H. Joffe Productions,USA,English,1971,3.39,24959,28,42891,10431,6849,82
Limite,Adventure,Cinédia,Brazil,No spoken language,1931,3.79,8234,171,13807,16387,3743,120
